,Rank,Song Name,Artist,Duration,Album,Year,Lyrics
69,70,Open Your Eyes,Snow Patrol,341,Eyes Open,2007-02-12,"[Verse 1]
All this feels strange and untrue
And I won't waste a minute without you
My bones ache, my skin feels cold
And I'm getting so tired and so old
The anger swells in my guts
And I won't feel these slices and cuts
I want so much to open your eyes
Cause I need you to look into mine

[Chorus]
Tell me that you'll open your eyes
Tell me that you'll open your eyes
Tell me that you'll open your eyes
Tell me that you'll open your eyes

[Verse 2]
Get up, get out, get away from these liars
Cause they don't get your soul or your fire
Take my hand, knot your fingers through mine
And we'll walk from this dark room for the last time
Every minute from this minute now
We can do what we like anywhere
I want so much to open your eyes
Cause I need you to look into mine

[Chorus]
Tell me that you'll open your eyes
Tell me that you'll open your eyes
Tell me that you'll open your eyes
Tell me that you'll open your eyes
Tell me that you'll open your eyes
Tell me that you'll open your eyes
Tell me that you'll open your eyes
Tell me that you'll open your eyes

[Outro]
All this feels strange and untrue
And I won't waste a minute without you"
70,71,Sparks,Coldplay,269,Parachutes,2000-07-10,"[Verse 1]
Did I drive you away?
I know what you'll say
You say, ""Oh, sing one you know""
But I promise you this
I'll always look out for you
Yeah, that's what I'll do

[Chorus]
I say, oh
I say, oh

[Verse 2]
My heart is yours
It's you that I hold on to
Yeah, that's what I do
And I know I was wrong
But I won't let you down
Oh yeah, oh yeah, oh yeah, I will, yes I will

[Chorus]
I said, oh
I cry, oh

[Bridge]
Yeah, I saw sparks
Yeah, I saw sparks
And I saw sparks
Yeah, I saw sparks
Sing it out

[Outro]
La, la, la, la, oh…
La, la, la, la, oh…
La, la, la, la, oh…
La, la, la, la, oh…"
71,72,Kiss Me,Sixpence None the Richer,206,Sixpence None the Richer,1998-08-11,"[Verse 1]
Kiss me, out of the bearded barley
Nightly, beside the green, green grass
Swing, swing, swing the spinning step
You wear those shoes and I will wear that dress

[Chorus]
Oh, kiss me, beneath the milky twilight
Lead me out on the moonlit floor
Lift your open hand
Strike up the band and make the fireflies dance
Silver moon's sparkling
So kiss me

[Verse 2]
Kiss me, down by the broken tree house
Swing me upon its hanging tire
Bring, bring, bring your flowered hat
We'll take the trail marked on your father's map

[Chorus]
Oh, kiss me, beneath the milky twilight
Lead me out on the moonlit floor
Lift your open hand
Strike up the band and make the fireflies dance
Silver moon's sparkling
So kiss me

[Instrumental Break]

[Chorus]
Kiss me, beneath the milky twilight
Lead me out on the moonlit floor
Lift your open hand
Strike up the band and make the fireflies dance
Silver moon's sparkling
So kiss me

[Outro]
So kiss me
So kiss me
So kiss me"
72,73,Let's Stay Together,Al Green,196,Let's Stay Together,,"[Intro]
Let's stay together

[Verse 1]
I, I'm so in love with you
Whatever you want to do is alright with me
'Cause you make me feel so brand new
And I want to spend my life with you

[Verse 2]
Let me say that since, baby, since we've been together
Ooh, loving you forever is what I need
Let me be the one you come running to
I'll never be untrue

[Chorus]
Ooh, baby, let's, let's stay together
Lovin' you whether
Whether times are good or bad, happy or sad
Ooh, yeah
Whether times are good or bad, happy or sad

[Verse 3]
Why somebody, why people break up
Turn around and make up, I just can't see
You'd never do that to me, would you baby?
Just being around you is all I see, it's what I want to do

[Chorus]
Let's, we ought to stay together
Lovin' you whether
Whether times are good or bad, happy or sad

[Outro]
C'mon, let's, let's stay together
I'll keep on lovin' you whether
Whether times are, oh times are good or times are bad"
73,74,Come Away with Me,Norah Jones,200,Come Away with Me,2002-12-30,"Come away with me in the night
Come away with me
And I will write you a song

Come away with me on a bus
Come away where they can't tempt us
With their lies

I want to walk with you
On a cloudy day
In fields where the yellow grass grows knee-high
So won't you try to come

Come away with me and we'll kiss
On a mountaintop
Come away with me
And I'll never stop loving you

And I want to wake up with the rain
Falling on a tin roof
While I'm safe there in your arms
So all I ask is for you
To come away with me in the night
Come away with me"
74,75,Lovefool,The Cardigans,198,Best Of,1996-08-12,"[Verse 1]
Dear, I fear we're facing a problem
You love me no longer, I know and
Maybe there is nothing that I can do
To make you do
Mama tells me I shouldn't bother
That I ought just to stick to another man
A man that surely deserves me
But I think you do

[Pre-Chorus]
So I cry, and I pray, and I beg

[Chorus]
Love me, love me
Say that you love me
Fool me, fool me
Go on and fool me
Love me, love me
Pretend that you love me
Leave me, leave me
Just say that you need me
So I cry and I beg for you to
Love me, love me
Say that you love me
Leave me, leave me
Just say that you need me
I can't care about anything but you

[Verse 2]
Lately I have desperately pondered
Spent my nights awake and I wonder
What I could have done in another way
To make you stay
Reason will not lead to solution
I will end up lost in confusion
I don't care if you really care
As long as you don't go

[Pre-Chorus]
So I cry, and I pray, and I beg

[Chorus]
Love me, love me
Say that you love me
Fool me, fool me
Go on and fool me
Love me, love me
Pretend that you love me
Leave me, leave me
Just say that you need me
So I cry and I beg for you to
Love me, love me
Say that you love me
Leave me, leave me
Just say that you need me
I can't care about anything but you
(Anything but you)

[Outro]
Love me, love me
Say that you love me
Fool me, fool me
Go on and fool me
Love me, love me
I know that you need me
I can't care about anything but you"
75,76,This Modern Love,Bloc Party,265,Silent Alarm,2005-02-05,"[Verse 1]
To be lost in the forest, to be caught adrift
You've been trying to reach me, you bought me a book
To be lost in the forest, to be caught adrift
I've been paid, I've been paid
To be lost in the forest, to be caught adrift
You've been trying to reach me, you bought me a book
To be lost in the forest, to be caught adrift
I've been paid, I've been weighed, I've been

[Verse 2]
Don't get offended if I seem absent-minded
Just keep telling me facts and keep making me smile and
Don't get offended if I seem absent minded
I get tongue-tied
Baby, you've got to be more discerning
I've never known what's good for me
Baby, you've got to be more demanding
I will be yours

[Bridge]
I'll pay for you any time
I'll pay for you any time

[Verse 3]
And you told me you wanted to eat up my sadness
Well jump on, enjoy, you can gorge away
And you told me you wanted to eat up my sadness
(Jump right)
Baby, you've got to be more discerning
I've never known what's good for me and
Baby, you've got to be more demanding
(Jump left)
What are you holding out for?
What's always... (in the way?)
Why so damn absent-minded?
Why so scared... (of romance?)

[Chorus]
This modern love breaks me
This modern love wastes me
This modern love breaks me
This modern love wastes me

[Outro]
Do you wanna come over and kill some time?
Do you wanna come over and kill some time?
Do you wanna come over and kill some time?
Throw your arms around me"
76,77,Cosmic Love,Florence + the Machine,292,Lungs,2009-07-03,"[Verse 1]
A falling star fell from your heart and landed in my eyes
I screamed aloud, as it tore through them
And now it's left me blind

[Chorus]
The stars, the moon, they have all been blown out
You left me in the dark
No dawn, no day, I'm always in this twilight
In the shadow of your heart

[Verse 2]
And in the dark, I can hear your heartbeat
I tried to find the sound
But then it stopped, till I was in the darkness
So darkness I became

[Chorus]
The stars, the moon, they have all been blown out
You left me in the dark
No dawn, no day, I'm always in this twilight
In the shadow of your heart

[Bridge]
I took the stars from our eyes, and then I made a map
And knew that somehow I could find my way back
Then I heard your heart beating, you were in the darkness too
So I stayed in the darkness with you

[Chorus]
The stars, the moon, they have all been blown out
You left me in the dark
No dawn, no day, I'm always in this twilight
In the shadow of your heart

The stars, the moon, they have all been blown out
You left me in the dark
No dawn, no day, I'm always in this twilight
In the shadow of your heart"
77,78,Love Me Do,The Beatles,142,Please Please Me,1962-10-05,"[Verse: Paul McCartney & John Lennon, Paul McCartney]
Love, love me do
You know I love you
I'll always be true
So please, love me do
Whoa, love me do

[Verse: Paul McCartney & John Lennon, Paul McCartney]
Love, love me do
You know I love you
I'll always be true
So please, love me do
Whoa, love me do

[Bridge: Paul McCartney & John Lennon, Paul McCartney]
Someone to love
Somebody new
Someone to love
Someone like you

[Verse: Paul McCartney & John Lennon, Paul McCartney]
Love, love me do
You know I love you
I'll always be true
So please, love me do
Whoa, love me do

[Harmonica Solo: John Lennon]

[Verse: Paul McCartney & John Lennon, Paul McCartney]
Love, love me do
You know I love you
I'll always be true
So please, love me do
Whoa, love me do
Yeah, love me do

[Outro: Paul McCartney]
Whoa, oh, love me do
Yeah, love me do
Why don't you love me do"
78,79,Wouldn't It Be Nice,The Beach Boys,145,Stack-O-Tracks,1966-07-18,"[Verse 1]
Wouldn't it be nice if we were older?
Then we wouldn't have to wait so long
And wouldn't it be nice to live together
In the kind of world where we belong?

[Chorus 1]
You know it's gonna make it that much better
When we can say goodnight and stay together

[Verse 2]
Wouldn't it be nice if we could wake up
In the morning when the day is new?
And after having spent the day together
Hold each other close the whole night through

[Chorus 2]
Happy times together we've been spending
I wish that every kiss was never-ending
Oh, wouldn't it be nice?

[Bridge]
Maybe if we think and wish and hope and pray, it might come true
Baby, then there wouldn't be a single thing we couldn't do
Oh, we could be married (Oh, we could be married)
And then we'd be happy (And then we'd be happy)
Oh, wouldn't it be nice?

[Chorus 3]
You know it seems the more we talk about it
It only makes it worse to live without it
But let's talk about it
Oh, wouldn't it be nice?

[Outro]
Goodnight, my baby
Sleep tight, my baby
Goodnight, my baby
Sleep tight, my baby
Goodnight, my baby
Sleep tight, my baby"
79,80,I Want to Hold Your Hand,The Beatles,146,1,1963-11-29,"[Verse 1: Paul McCartney & John Lennon]
Oh yeah, I'll tell you something
I think you'll understand
When I'll say that something
I want to hold your hand

[Chorus: Paul McCartney & John Lennon]
I want to hold your hand
I want to hold your hand

[Verse 2: Paul McCartney & John Lennon]
Oh please, say to me
You'll let me be your man
And please, say to me
You'll let me hold your hand

[Chorus: Paul McCartney & John Lennon]
Now let me hold your hand
I want to hold your hand

[Bridge: Paul McCartney & John Lennon]
And when I touch you I feel happy inside
It's such a feeling that my love
I can't hide
I can't hide
I can't hide

[Verse 3: Paul McCartney & John Lennon]
Yeah, you got that something
I think you'll understand
When I'll say that something
I want to hold your hand

[Chorus: Paul McCartney & John Lennon]
I want to hold your hand
I want to hold your hand

[Bridge: Paul McCartney & John Lennon]
And when I touch you I feel happy inside
It's such a feeling that my love
I can't hide
I can't hide
I can't hide

[Verse 4: Paul McCartney & John Lennon]
Yeah, you got that something
I think you'll understand
When I feel that something
I want to hold your hand

[Chorus: Paul McCartney & John Lennon]
I want to hold your hand
I want to hold your hand
I want to hold your hand"
80,81,Your Love Is My Drug,Ke$ha,188,Animal,2010-01-01,"[Verse 1]
Maybe I need some rehab
Or maybe just need some sleep
I got a sick obsession
I'm seeing it in my dreams
I'm looking down every alley
I'm making those desperate calls
I'm staying up all night hoping
Hitting my head against the wall

[Pre-Chorus]
What you've got, boy, is hard to find
I think about it all the time
I'm all strung out, my heart is fried
I just can't get you off my mind

[Chorus]
Because your love, your love, your love is my drug
Your love, your love, your love
I said your love, your love, your love is my drug
Your love, your love, your love

[Verse 2]
Won't listen to any advice
Momma's telling me I should think twice
Better left to my own devices
I'm addicted, it's a crisis
My friends think I've gone crazy
My judgment's getting kinda hazy
My steeze is gonna be affected
If I keep it up like a lovesick crackhead

[Pre-Chorus]
What you've got, boy, is hard to find
I think about it all the time
I'm all strung out, my heart is fried
I just can't get you off my mind

[Chorus]
Because your love, your love, your love is my drug
Your love, your love, your love
I said your love, your love, your love is my drug
Your love, your love, your love

[Bridge]
I don't care what people say
The rush is worth the price I pay
I get so high when you're with me
But crash and crave you when you leave

[Verse 3]
Hey, so I got a question
Do you wanna have a slumber party in my basement?
Do I make your heart beat like an 808 drum?
Is my love your drug? Your drug
Huh, your drug
Huh, your drug
Is my love your drug?

[Chorus]
Because your love, your love, your love is my drug
Your love, your love, your love
I said your love, your love, your love is my drug
Your love, your love, your love
Because your love, your love, your love is my drug
Your love, your love, your love
I said your love, your love, your love is my drug
Your love, your love, your love

[Outro]
Hey
Hey, so...
Your love, your love, your love, your love is my drug
I like your beard"
81,82,Can't Buy Me Love,The Beatles,133,1,1964-03-16,"[Intro]
Can't buy me love, love
Can't buy me love

[Verse 1]
I'll buy you a diamond ring, my friend
If it makes you feel alright
I'll get you anything, my friend
If it makes you feel alright
'Cause I don't care too much for money
Money can't buy me love

[Verse 2]
I'll give you all I've got to give
If you say you love me too
I may not have a lot to give
But what I got I'll give to you
I don't care too much for money
Money can't buy me love

[Chorus]
Can't buy me love, everybody tells me so
Can't buy me love, no-no-no, no!

[Verse 3]
Say you don't need no diamond rings
And I'll be satisfied
Tell me that you want the kind of things
That money just can't buy
I don't care too much for money
Money can't buy me love
Ow!

[Guitar Solo]

[Chorus: Paul McCartney]
Buy me love, everybody tells me so
Can't buy me love, no-no-no, no!

[Verse 4]
Say you don't need no diamond rings
And I'll be satisfied
Tell me that you want the kind of things
That money just can't buy
I don't care too much for money
Money can't buy me love

[Chorus]
Can't buy me love, love
Can't buy me love"
82,83,Unfaithful,Rihanna,229,A Girl Like Me,2006-05-02,"[Verse 1]
Story of my life
Searching for the right, but it keeps avoiding me
Sorrow in my soul, 'cause it seems that wrong
Really loves my company
He's more than a man, and this is more than love
The reason that the sky is blue
The clouds are rolling in, because I'm gone again
And to him, I just can't be true

[Pre-Chorus]
And I know that he knows I'm unfaithful
And it kills him inside
To know that I am happy with some other guy
I can see him dying

[Chorus]
I don't wanna do this anymore
I don't wanna be the reason why
Every time I walk out the door
I see him die a little more inside
I don't wanna hurt him anymore
I don't wanna take away his life
I don't wanna be a murderer

[Verse 2]
I feel it in the air as I'm doin' my hair
Preparing for another date
A kiss upon my cheek
As he reluctantly asks if I'm gonna be out late
I say I won't be long, just hanging with the girls
A lie I didn't have to tell
Because we both know where I'm about to go
And we know it very well

[Pre-Chorus]
'Cause I know that he knows I'm unfaithful
And it kills him inside
To know that I am happy with some other guy
I can see him dying

[Chorus]
I don't wanna do this anymore
I don't wanna be the reason why
Every time I walk out the door
I see him die a little more inside
I don't wanna hurt him anymore
I don't wanna take away his life
I don't wanna be a murderer

[Bridge]
Our love, his trust
I might as well take a gun and put it to his head
Get it over with
I don't wanna do this anymore
Whoa
Anymore

[Chorus]
I don't wanna do this anymore
I don't wanna be the reason why
And every time I walk out the door
I see him die a little more inside
And I don't wanna hurt him anymore
I don't wanna take away his life
I don't wanna be, a murderer

[Outro]
A murderer, no, no, no
Yeah"
83,84,No One,Alicia Keys,246,As I Am,2007-09-11,"[Verse 1]
I just want you close
Where you can stay forever
You can be sure
That it will only get better

[Pre-Chorus]
You and me together
Through the days and nights
I don't worry 'cause
Everything's going to be alright
People keep talking, they can say what they like
But all I know is everything's gonna be alright

[Chorus]
No one, no one, no one
Can get in the way of what I'm feelin'
No one, no one, no one
Can get in the way of what I feel for you, you, you
Can get in the way of what I feel for you

[Verse 2]
When the rain is pouring down
And my heart is hurting
You will always be around
This I know for certain

[Pre-Chorus]
You and me together
Through the days and nights
I don't worry 'cause
Everything's going to be alright
People keep talking, they can say what they like
But all I know is everything's gonna be alright

[Chorus]
No one, no one, no one
Can get in the way of what I'm feelin'
No one, no one, no one
Can get in the way of what I feel for you, you, you
Can get in the way of what I feel

[Bridge]
I know some people search the world
To find something like what we have
I know people will try, try to divide, something so real
So till the end of time, I'm telling you there ain't no one

[Chorus]
No one, no one
Can get in the way of what I'm feelin'
No one, no one, no one
Can get in the way of what I feel for you

[Outro]
Oh, oh oh oh, oh oh oh, oh oh oh oh oh oh oh oh oh oh
Oh, oh oh oh, oh oh oh, oh oh oh oh oh oh oh oh oh oh"
84,85,Samson,Regina Spektor,227,Begin to Hope,2002-12-25,"[Chorus]
You are my sweetest downfall
I loved you first, I loved you first
Beneath the sheets of paper lies my truth
I have to go, I have to go
Your hair was long when we first met

[Verse 1]
Samson went back to bed
Not much hair left on his head
He ate a slice of Wonder bread, and went right back to bed
And history books forgot about us and the Bible didn't mention us
And the Bible didn't mention us, not even once

[Chorus]
You are my sweetest downfall
I loved you first, I loved you first
Beneath the stars came falling on our heads
But they're just old light, they're just old light
Your hair was long when we first met

[Verse 2]
Samson came to my bed
Told me that my hair was red
Told me I was beautiful, and came into my bed
Oh, I cut his hair myself one night
A pair of dull scissors in the yellow light
And he told me that I'd done alright
And kissed me 'til the morning light, the morning light
And he kissed me 'til the morning light

[Verse 3]
Samson went back to bed
Not much hair left on his head
He ate a slice of Wonder bread, and went right back to bed
Oh, we couldn't bring the columns down
Yeah, we couldn't destroy a single one
And history books forgot about us
And the Bible didn't mention us, not even once

[Outro]
You are my sweetest downfall
I loved you first"
85,86,If I Were a Boy,Beyoncé,251,Knuffelrock 2012 - Jubileum-Editie,2008-10-12,"[Verse 1]
If I were a boy
Even just for a day
I'd roll out of bed in the morning
And throw on what I wanted then go
Drink beer with the guys
And chase after girls
I'd kick it with who I wanted
And I'd never get confronted for it
'Cause they'd stick up for me

[Chorus 1]
If I were a boy
I think I could understand
How it feels to love a girl
I swear I'd be a better man
I'd listen to her
'Cause I know how it hurts
When you lose the one you wanted
'Cause he's taken you for granted
And everything you had got destroyed

[Verse 2]
If I were a boy
I would turn off my phone
Tell everyone it's broken
So they'd think that I was sleepin' alone
I'd put myself first
And make the rules as I go
'Cause I'd know that she'd be faithful
Waitin' for me to come home
To come home

[Chorus 1]
If I were a boy
I think I could understand
How it feels to love a girl
I swear I'd be a better man
I'd listen to her
'Cause I know how it hurts
When you lose the one you wanted (Wanted)
'Cause he's taken you for granted (Granted)
And everything you had got destroyed

[Bridge]
It's a little too late for you to come back
Say, it's just a mistake
Think I'd forgive you like that
If you thought I would wait for you
You thought wrong

[Chorus 2]
But you're just a boy
You don't understand
(Yeah, you don't understand, oh)
How it feels to love a girl
Someday, you'll wish you were a better man
You don't listen to her
You don't care how it hurts
Until you lose the one you wanted
'Cause you've taken her for granted
And everything you have got destroyed
But you're just a boy..."
86,87,Cannonball,Damien Rice,247,O,2002-02-01,"[Verse 1]
Still a little bit of your taste in my mouth
Still a little bit of you laced with my doubt
Still a little hard to see what's going on
Still a little bit of your ghost, your witness
Still a little bit of your face I haven't kissed

[Pre-Chorus]
You step a little closer each day
That I can't say what's going on

[Chorus]
Stones taught me to fly
Love taught me to lie
And life taught me to die
So it's not hard to fall
When you float like a cannonball

[Verse 2]
Still a little bit of your song in my ear
Still a little bit of your words I long to hear
You step a little closer to me
So close that I can't see what's going on

[Chorus]
Stones taught me to fly
Love taught me to lie
And life taught me to die
So it's not hard to fall
When you float like a cannon

[Verse 3]
Stones taught me to fly
Love taught me to cry
So come on courage!
Teach me to be shy
'Cause it's not hard to fall
And I don't wanna scare her
It's not hard to fall
And I don't wanna lose
It's not hard to grow
When you know that you just don't know"
87,88,Wherever You Will Go,The Calling,208,Camino Palmero,,"[Verse 1]
So lately, been wondering
Who will be there to take my place?
When I'm gone, you'll need love
To light the shadows on your face

[Pre-Chorus 1]
If a great wave shall fall
And fall upon us all
Then between the sand and stone
Could you make it on your own?

[Chorus]
If I could, then I would
I'll go wherever you will go
Way up high or down low
I'll go wherever you will go

[Verse 2]
And maybe I'll find out
A way to make it back someday
To watch you, to guide you
Through the darkest of your days

[Pre-Chorus 2]
If a great wave shall fall
And fall upon us all
Then, I hope there's someone out there
Who can bring me back to you

[Chorus]
If I could, then I would
I'll go wherever you will go
Way up high or down low
I'll go wherever you will go

[Bridge]
Run away with my heart
Run away with my hope
Run away with my love

[Breakdown]
I know now, just quite how
My life and love might still go on
In your heart, in your mind
I'll stay with you for all of time

[Chorus]
If I could, then I would
I'll go wherever you will go
Way up high or down low
I'll go wherever you will go

[Outro]
If I could turn back time
I'll go wherever you will go
If I could make you mine
I'll go wherever you will go
I'll go wherever you will go"
88,89,Love Story,Taylor Swift,233,Fearless,2008-09-12,"[Verse 1]
We were both young when I first saw you
I close my eyes, and the flashback starts
I'm standing there
On a balcony in summer air
See the lights, see the party, the ball gowns
See you make your way through the crowd
And say, ""hello""
Little did I know

[Pre-Chorus 1]
That you were Romeo, you were throwing pebbles
And my daddy said, ""stay away from Juliet""
And I was crying on the staircase
Begging you, ""please don't go,"" and I said

[Chorus 1]
Romeo, take me somewhere we can be alone
I'll be waiting, all there's left to do is run
You'll be the prince and I'll be the princess
It's a love story baby just say ""yes""

[Verse 2]
So I sneak out to the garden to see you
We keep quiet, 'cause we're dead if they knew
So close your eyes
Escape this town for a little while

[Pre-Chorus 2]
'Cause you were Romeo, I was a scarlet letter
And my daddy said, ""Stay away from Juliet""
But you were everything to me
I was begging you please don't go and I said

[Chorus 2]
Romeo, take me somewhere we can be alone
I'll be waiting, all there's left to do is run
You'll be the prince and I'll be the princess
It's a love story baby just say ""yes""
Romeo, save me, they're trying to tell me how to feel
This love is difficult, but it's real
Don't be afraid, we'll make it out of this mess
It's a love story baby just say ""yes""
Oh, oh

[Bridge]
I got tired of waiting
Wondering if you were ever coming around
My faith in you was fading
When I met you on the outskirts of town, and I said

Romeo save me I've been feeling so alone
I keep waiting for you but you never come
Is this in my head? I don't know what to think
He knelt to the ground and pulled out a ring

[Chorus 3]
And said: ""Marry me Juliet
You'll never have to be alone
I love you and that's all I really know
I talked to your dad, go pick out a white dress
It's a love story baby just say 'yes'""

[Outro]
Oh, oh
Oh, oh
'Cause we were both young when I first saw you"
89,90,Where Is the Love,Black Eyed Peas,515,Elephunk,2003-06-16,"[Verse 1: will.i.am]
What's wrong with the world, mama?
People livin' like they ain't got no mamas
I think the whole world's addicted to the drama
Only attracted to the things that'll bring you trauma
Overseas, yeah, we tryin' to stop terrorism
But we still got terrorists here livin'
In the USA, the big CIA
The Bloods and the Crips, and the KKK
But if you only have love for your own race
Then you only leave space to discriminate
And to discriminate only generates hate
And when you hate, then you're bound to get irate
Madness is what you demonstrate
And that's exactly how anger works and operates
Man, you gotta have love, this'll set us straight
Take control of your mind and meditate
Let your soul gravitate to the love, y'all, y'all

[Chorus]
People killin', people dyin'
Children hurt and you hear them cryin'
Can you practice what you preach?
And would you turn the other cheek?
Father, father, father, help us
Send some guidance from above
These people got me, got me questionin'
Where is the love? (love)
Where is the love? (the love)
Where is the love? (the love)
Where is the love? (the love, the love)

[Verse 2: Taboo]
It just ain't the same, old ways have changed
New days are strange, is the world insane?
If love and peace is so strong
Then why are there pieces of love that don't belong
Nations droppin' bombs
Chemical gases fillin' lungs of little ones
With ongoing sufferin' as the youth die young
So ask yourself, is the lovin' really gone?
So I can ask myself, really, what is going wrong?
With this world that we livin' in, people keep on givin' in
Makin' wrong decisions, only visions of them dividends
Not respectin' each other, deny thy brother
A war is goin' on, but the reason's undercover
The truth is kept secret, and swept under the rug
If you never know truth, then you never know love
Where's the love, y'all? (Come on, I don't know)
Where's the truth, y'all? (Come on, I don't know)
And where's the love y'all?

[Chorus]
People killin', people dyin'
Children hurt and you hear them cryin'
Will you practice what you preach?
And would you turn the other cheek?
Father, father, father, help us
Send some guidance from above
These people got me, got me questionin'
Where is the love? (love)
Where is the love? (the love)
Where is the love? (the love)
Where is the love? (the love, the love)

[Verse 3: apl.de.ap]
I feel the weight of the world on my shoulder
As I'm getting older, y'all people gets colder
Most of us only care about money-makin'
Selfishness got us followin' the wrong direction
Wrong information always shown by the media
Negative images is the main criteria
Infecting the young minds faster than bacteria
Kids wanna act like what they see in the cinema
Yo, whatever happened to the values of humanity?
Whatever happened to the fairness and equality?
Instead of spreadin' love we spreadin' animosity
Lack of understandin' leading us away from unity
That's the reason why sometimes I'm feelin' under
That's the reason why sometimes I'm feelin' down
It's no wonder why sometimes I'm feelin' under
Gotta keep my faith alive 'til love is found
Now ask yourself…

[Bridge: will.i.am]
Where is the love?
Where is the love?
Where is the love?
Where is the love?
Father, father, father, help us
Send some guidance from above
These people got me, got me questionin'
Where is the love?

[Outro]
Now sing with me, y'all (one world, one world)
We only got (one world, one world)
That's all we got (one world, one world)
And something's wrong with it
Something's wrong with it
Something's wrong with the w-w-world
We only got (one world, one world)
That's all we got (one world, one world)"
90,91,Thinkin Bout You,Frank Ocean,203,channel ORANGE,2012-04-17,"[Verse 1]
A tornado flew around my room before you came
Excuse the mess it made, it usually doesn't rain in
Southern California, much like Arizona
My eyes don't shed tears, but boy, they pour when

[Pre-Chorus]
I'm thinkin' 'bout you, ooh no, no, no
I've been thinkin' bout you, you know, know, know
I've been thinkin' bout you, do you think about me still?
Do ya, do ya?

[Chorus]
Or do you not think so far ahead?
'Cause I been thinkin' bout forever, ooh
Or do you not think so far ahead?
'Cause I been thinkin' bout forever, ooh

[Verse 2]
No, I don't like you, I just thought you were cool enough to kick it
Got a beach house I could sell you in Idaho
Since you think I don't love you, I just thought you were cute
That's why I kissed you
Got a fighter jet, I don't get to fly it though, I'm lying down

[Pre-Chorus]
Thinkin' 'bout you, ooh no, no, no
I've been thinkin' bout you, you know, know, know
I've been thinkin' bout you, do you think about me still?
Do ya, do ya?

[Chorus]
Or do you not think so far ahead?
'Cause I been thinkin' bout forever, ooh
Or do you not think so far ahead?
'Cause I been thinkin' bout forever, ooh

[Bridge]
Yes, of course, I remember, how could I forget (How could I forget?) how you feel? (How you feel)
You know you were my first time, a new feel
It won't ever get old, not in my soul, not in my spirit, keep it alive
We'll go down this road 'til it turns from color to black and white

[Chorus]
Or do you not think so far ahead?
'Cause I been thinkin' bout forever, ooh
Or do you not think so far ahead?
'Cause I been thinkin' bout forever, ooh"
91,92,Bubbly,Colbie Caillat,198,Coco,2007-07-10,"[Intro]
Will you count me in?

[Verse 1]
I've been awake for a while now
You've got me feeling like a child now
'Cause every time I see your bubbly face
I get the tingles in a silly place

[Chorus]
It starts in my toes and I crinkle my nose
Wherever it goes, I always know
That you make me smile, please stay for a while now
Just take your time, wherever you go

[Verse 2]
The rain is falling on my window pane
But we are hiding in a safer place
Under covers, staying dry and warm
You give me feelings that I adore

[Chorus]
They start in my toes, make me crinkle my nose
Wherever it goes, I always know
That you make me smile, please stay for a while now
Just take your time, wherever you go

[Bridge]
But what am I gonna say
When you make me feel this way?
I just... Mmm

[Chorus]
And it starts in my toes, makes me crinkle my nose
Wherever it goes, I always know
That you make me smile, please stay for a while now
Just take your time, wherever you go
Ta-da-dam, ta-da, da-dam, ta-da-dam, ta-da-da-da, ta-da-dam
Um-ba, da-da, um-ba, ta-da-da-da, uhm

[Breakdown]
I've been asleep for a while now
You tuck me in, just like a child now
'Cause every time you hold me in your arms
I'm comfortable enough to feel your warmth

[Chorus]
It starts in my soul and I lose all control
When you kiss my nose, the feeling shows
'Cause you make me smile, baby, just take your time now
Holding me tight

[Outro]
Wherever, wherever, wherever you go
Wherever, wherever, wherever you go
Wherever you go, I always know
'Cause you make me smile, even just for a while"
92,93,Breakeven,The Script,261,The Script,2008-08-08,"[Intro]
I'm still alive but I'm barely breathing
Just praying to a God that I don't believe in
'Cause I got time while she got freedom
'Cause when a heart breaks no it don't break even

[Verse 1]
Her best days will be some of my worst
She finally met a man that's gonna put her first
While I'm wide awake she's no trouble sleeping
'Cause when a heart breaks no it don't breakeven
Even... no

[Chorus]
What am I supposed to do when the best part of me was always you?
And what am I supposed to say when I'm all choked up and you're ok?
I'm falling to pieces, yeah
I'm falling to pieces

[Verse 2]
They say bad things happen for a reason
But no wise words gonna stop the bleeding
'Cause she's moved on while I'm still grieving
And when a heart breaks no it don't breakeven even, even
... no

[Chorus]
What am I gonna do when the best part of me was always you?
And what am I supposed to say when I'm all choked up and you're ok?
I'm falling to pieces, yeah
I'm falling to pieces, yeah
I'm falling to pieces
(One still in love while the other one's leaving)
I'm falling to pieces
('Cause when a heart breaks no it don't break even)

[Bridge]
Oh, you got his heart and my heart and none of the pain
You took your suitcase, I took the blame
Now I'm tryna make sense of what little remains, oh
'Cause you left me with no love and no love to my name

[Verse 3]
I'm still alive but I'm barely breathing
Just prayed to a God that I don't believe in
'Cause I got time while she got freedom
'Cause when a heart breaks no it don't break
No it don't break no it don't break even no

[Chorus]
What am I gonna do when the best part of me was always you?
And what am I supposed to say when I'm all choked up that you're ok?
I'm falling to pieces, yeah
I'm falling to pieces, yeah
I'm falling to pieces
(One still in love while the other one's leaving)
I'm falling to pieces
('Cause when a heart breaks no it don't break even)

[Outro]
Oh, it don't break even, no
Oh, it don't break even, no
Oh, it don't break even, no"
