,Unnamed: 0,Rank,Song Name,Artist,Duration,Album,Lyrics,Year,bins
78,78,119,Crown of Love,Arcade Fire,0,Funeral,Verse 1They say it fades if you let itLove was made to forget itI carved your name across my eyelidsYou pray for rain I pray for blindnessChorus 1If you still want me please forgive meThe crown of love has fallen from meIf you still want me please forgive meBecause the spark is not within mePostChorusI snuffed it out before my mom walkedIn my bedroomVerse 2The only thing that you keep changingIs your name my love keeps growingStill the same just like a cancerAnd you wont give me a straight answerChorus 2If you still want me please forgive meThe crown of love has fallen from meIf you still want me please forgive meBecause your hands are not upon mePostChorusI shrugged them off before my mom walkedIn my bedroomVerse 3The pains of love and they keep growingIn my heart theres flowers growingOn the grave of our old loveSince you gave me a straight answerChorus 3If you still want me please forgive meThe crown of love is not upon meIf you still want me please forgive meBridgeCause the spark is not within meIts not within meIts not within meYou gotta be the oneYou gotta be the wayYour name is the only word that I can sayYou gotta be the oneYou gotta be the wayYour name is the only wordThe only word that I can sayOutroOnly word that I can sayNo no no no noNo no no no,2004,2000s
79,79,120,To Be Alone With You,Sufjan Stevens,165,Seven Swans,Verse 1Id swim across Lake MichiganId sell my shoesId give my body to be back againIn the rest of the roomHookTo be alone with youTo be alone with youTo be alone with youTo be alone with youVerse 2You gave your body to the lonelyThey took your clothesYou gave up a wife and a familyYou gave your ghostHook 2To be alone with meTo be alone with meTo be alone with meYou went up on a treeBridgeTo be alone with meYou went up on a treeOutroIve never known a man who loved me,2004,2000s
80,80,121,If I Ever Feel Better,Phoenix,268,United,IntroThey say an end can be a startFeels like Ive been buried yet Im still aliveIts like a bad day that never endsI feel the chaos around meA thing I dont try to denyId better learn to accept thatThere are things in my life that I cant controlVerse 1They say love aint nothing but a soreI dont even know what love isToo many tears have had to fallDont you know Im so tired of it allI have known terror dizzy spellsFinding out the secrets words wont tellWhatever it is it cant be namedTheres a part of my world thats fading awayYou know I dont want to be cleverTo be brilliant or superiorTrue like ice true like fireNow I know that a breeze can blow me awayNow I know theres much more dignityIn defeat than in the brightest victoryIm losing my balance on the tight ropeTell me please tell me please tell me please tell me pleaseChorusIf I ever feel betterRemind me to spend some good time with youYou can give me your numberWhen its all over Ill let you knowVerse 2Hang on to the good daysI can lean on my friendsThey help me going through hard timesBut Im feeding the enemyIm in league with the foeBlame me for whats happeningI cant try I cant try I cant try I cant tryNo one knows the hard times I went throughIf happiness came I miss the callThe stormy days aint overIve tried and lost now I think that I pay the costNow Ive watched all my castles fallThey were made of dust after allSomeday all this mess will make me laughI cant wait I cant wait I cant wait I cant waitChorusIf I ever feel betterRemind me to spend some good time with youYou can give me your numberWhen its all over Ill let you knowIf I ever feel betterRemind me to spend some good time with youYou can give me your numberWhen its all over Ill let you knowBridgeIts like somebody took my placeI aint even playing my own gameThe rules have changed well I didnt knowThere are things in my life I cant controlI feel the chaos around meA thing I dont try to denyId better learn to accept thatTheres a part of my life that will go awayDark is the night cold is the groundIn the circular solitude of my heartAs one who strives a hill to climbI am sure Ill come through I dont know howThey say an end can be a startFeels like Ive been buried yet Im still aliveIm losing my balance on the tight ropeTell me please tell me please tell me please tell me pleaseChorusIf I ever feel betterRemind me to spend some good time with youYou can give me your numberWhen its all over Ill let you knowIf I ever feel betterRemind me to spend some good time with youYou can give me your numberWhen its all over Ill let you knowIf I ever feel betterRemind me to spend some good time with youYou can give me your numberWhen its all over Ill let you know,2000,2000s
81,81,122,With You,Chris Brown,252,Exclusive,IntroI need you booI gotta see you booAnd the hearts all over the world tonightSaid the hearts all over the world tonightAnd I need you boo OhI gotta see you boo HeyAnd the hearts all over the world tonightSaid the hearts all over the world tonight Uh uhVerse 1Hey little mama ooh youre a stunnerHot little figure yes youre a winnerAnd Im so glad to be yoursYoure a class all your ownAnd ooh little cutie when you talk to meI swear the whole world stops youre my sweetheartAnd Im so glad that youre mineYou are one of a kind andPreChorusYou mean to me what I mean to youAnd together baby there is nothing we wont doCause if I got you I dont need money I dont need carsGirl youre my allChorusAnd oh Im into youAnd girl no one else would doCause with every kiss and every hugYou make me fall in loveAnd now I know I cant be the only oneI bet theres hearts all over the world tonightWith the love of their life who feelsWhat I feel when ImWith you with you with you with you with you girlWith you with you with you with you with youVerse 2Oh girl I dont want nobody elseWithout you theres no one left thenYoure like Jordans on SaturdayI gotta have you and I cannot wait nowHey little shawty say you care for meYou know I care for you you know that Ill be trueYou know that I wont lie you know that I would tryTo be your everything yeahPreChorusCause if I got you I dont need money I dont need carsGirl youre my allChorusAnd oh Im into you Into youAnd girl no one else would do WontCause with every kiss and every hug HugYou make me fall in loveAnd now I know I cant be the only one I know I cant be the onlyI bet theres hearts all over the world tonightWith the love of their life who feelsWhat I feel when ImWith you with you with you with you with you ohWith you with you with you with you with you hey heyBridgeAnd I will never try to deny that you are my whole lifeCause if you ever let me go I would die so I wont frontI dont need another woman I just need your all and nothingCause if I got that then Ill be straightBaby youre the best part of my dayI need you booI gotta see you booAnd the hearts all over the world tonight Hey heySaid the hearts all over the world tonight Ooh ooh ooh yeahThey need it boo They need itThey gotta see their booSaid theres hearts all over the world tonightHearts all over the world tonightChorusOh oh Im into you Im into you babyAnd girl no one else would doCause with every kiss Every kiss and every hug Every hugYou make me fall in love You make meAnd now I know I cant be the only one Cant be the only oneI bet theres hearts all over the world tonightWith the love of their life who feelsWhat I feel when ImWith you with you with you with you with you girlWith you with you with you with you with you ohWith you with you with you with you with you with youOnly with you with you with you with you with you babe yeah,2007,2000s
82,82,123,Forever,Chris Brown,277,Exclusive: The Forever Edition,IntroOne two three fourHey hey ForeverHey hey ForeverVerse 1Its you and me moving at the speed of light into eternity yeahTonight is the night to join me in the middle of ecstasyFeel the melody and the rhythm of the musicAround you around you OhohIma take you there Ima take you there OhSo dont be scared Im right here babyWe can go anywhere go anywhere YeahBut first its your chance take my hand come with meChorusIts like Ive waited my whole life Oh for this one night OhIts gon be me you and the dance floorCause we only got one night Oh ohDouble your pleasure double your funAnd dance foreeever foreeeverForeeever foreverForeeever foreeever foreeeverForever on the dance floorVerse 2Feels like were on another level ohFeels like our loves intertwinedWe can be two rebelsBreaking the rules me and you you and IAll you gotta do is watch me Watch meLook what I can do with my feet My feetBaby feel the beat insideIm driving you can take the front seat Front seatI just need you to trust me Trust meOh Girl oh Girl oh GirlIts like IveChorusIts like Ive waited my whole life Oh for this one night One night ohIts gon be me you and the dance floor Dance floorCause we only got one night Oh oh one nightDouble your pleasure double your fun YeahAnd dance foreeever foreeeverForeeever foreverForeeever foreeever foreeeverForever on the dance floorBridgeIts a long way down we so high off the groundSending for an angel to bring me your heartGirl where did you come from Got me so undoneGaze in your eyes got me saying What a beautiful ladyNo ifs ands or maybesIm releasing my heart and its feeling amazingTheres no one else that matters you love meAnd I wont let you fall girl Fall girl let you fall girl ohOh oh yeah yeahI wont let you fall let you fall let you fall oh ohohYeah yeahYeah yeahChorusIts likeIts like Ive waited my whole life Oh whole life for this one night One night ohIts gon be me you and the dance floor Me you and the dance floorCause we only got one night Oh ohDouble your pleasure double your funAnd dance foreeever foreeeverForeeever foreverForeeever foreeever foreeeverForever on the dance floorOutroOh oh ohohohohohOhohoh yeahForever ever ever everForever ever ever,2008,2000s
83,83,126,Meet Me Halfway,Black Eyed Peas,0,The E.N.D. (The Energy Never Dies),Intro FergieOoh I cant go any further than thisOoh I want you so badly its my biggest wishVerse 1 apldeapCool I spend my time just thinkingThinking thinking bout youEvery single day yes Im really missing missing youAnd all those things we used toUsed to used to used to doHey girl whats up it used to used to be just me and youI spend my time just thinking thinking thinking bout youEvery single day yes Im really missing missing youAnd all those things we used toUsed to used to used to doHey girl whats up yo whats up whats upChorus FergieCan you meet me halfway Right at the borderlineThats where Im gonna wait for youIll be looking out night and dayTook my heart to the limit and this is where Ill stayI cant go any further than thisI want you so bad its my only wishVerse 2 williamGirl I travel round the world and even sail the seven seasAcross the universe and all the other galaxiesJust tell me where to go just tell me where you wanna meetI navigate myself myself to take me where you beCause girl I want I I I want you right nowI travel uptown town I travel downtownWanna have you around round like every single dayI love you always ways Ill meet you halfwayChorus FergieCan you meet me halfway Right at the borderlineThats where Im gonna wait for youIll be looking out night and dayTook my heart to the limit and this is where Ill stayI cant go any further than thisI want you so bad its my only wishI cant go any further than thisI want you so bad its my only wishBridge TabooLets cross the bridge to the other sideJust you and I Just you and II will fly fly the skiesFor you and I For you and II will try until I dieFor you and I For you and IFor for for you and IFor for for for you and IFor for you and I For you and IBreakdown FergieCan you meet me halfwayCan you meet me halfwayCan you meet me halfwayCan you meet me halfwayChorus FergieMeet me halfwayRight at the borderlineThats where Im gonna wait for youIll be looking out night and dayTook my heart to the limit and this is where Ill stayI cant go any further than thisI want you so bad its my only wishI cant go any further than thisI want you so bad its my only wish,2009,2000s
84,84,127,A Thousand Miles,Vanessa Carlton,235,Be Not Nobody,IntroVerse 1Makin my way downtownWalkin fast faces passAnd Im homeboundStarin blankly aheadJust makin my wayMakin a way through the crowdPreChorus 1And I need youAnd I miss youAnd now I wonderChorusIf I could fall into the skyDo you think time would pass me byCause you know Id walk a thousand milesIf I could just see youTonightVerse 2Its always times like these when I think of youAnd I wonder if you ever think of meCause everythings so wrong and I dont belongLivin in your precious memoryPreChorus 2Cause Ill need youAnd Ill miss youAnd now I wonderChorusIf I could fall into the skyDo you think time would pass me byOh cause you know Id walk a thousand milesIf I could just see youTonightBridgeI I dont wanna let you knowI I drown in your memoryI I dont wanna let this goI I dontVerse 1 RepriseMakin my way downtownWalkin fast faces passAnd Im homeboundStarin blankly aheadJust makin my wayMakin a way through the crowdPreChorus 3And I still need youI still miss youAnd now I wonderChorusIf I could fall into the skyDo you think time would pass us byCause you know Id walk a thousand milesIf I could just see youIf I could fall into the skyDo you think time would pass me byCause you know Id walk a thousand milesIf I could just see youIf I could just hold youTonight,2002,2000s
85,85,128,Stop Crying Your Heart Out,Oasis,303,Heathen Chemistry,Verse 1Hold upHold onDont be scaredYoull never change whats been and goneMay your smile may your smileShine on shine onDont be scared dont be scaredYour destiny may keep you warmChorusCause all of the starsAre fading awayJust try not to worryYoull see them somedayTake what you needAnd be on your wayAnd stop crying your heart outVerse 2Get up get upCome on come onWhyre you scared Im not scaredYoull never changeWhats been and goneChorusCause all of the starsAre fading awayJust try not to worryYoull see them somedayTake what you needAnd be on your wayAnd stop crying your heart outChorusCause all of the starsAre fading awayJust try not to worryYoull see them somedayJust take what you needAnd be on your wayAnd stop crying your heart outOutroWere all of us starsWere fading awayJust try not to worryYoull see us somedayJust take what you needAnd be on your wayAnd stop crying your heart outStop crying your heart outStop crying your heart outStop crying your heart outStop crying your heart out,2002,2000s
86,86,129,Swallowed in the Sea,Coldplay,238,X&Y,Verse 1You cut me down a treeAnd brought it back to meAnd thats what made me seeWhere I was going wrongYou put me on a shelfAnd kept me for yourselfI can only blame myselfYou can only blame meChorus 1And I could write a songA hundred miles longWell thats where I belongAnd you belong with meAnd I could write it downOr spread it all aroundGet lost and then get foundOr swallowed in the seaVerse 2You put me on a lineAnd hung me out to dryAnd darling thats when IDecided to go seeYou cut me down to sizeAnd opened up my eyesMade me realizeWhat I could not seeChorus 2And I could write a bookThe one theyll say that shookThe world and then it tookIt took it back from meAnd I could write it downOr spread it all aroundGet lost and then get foundAnd youll come back to meNot swallowed in the seaBridgeOoh ahOoh ahChorus 3And I could write a songA hundred miles longWell thats where I belongAnd you belong with meThe streets youre walking onA thousand houses longWell thats where I belongAnd you belong with meBreakdownOh what good is it to liveWith nothing left to giveForget but not forgiveNot loving all you seeAll the streets youre walking onA thousand houses longWell thats where I belongAnd you belong with meNot swallowed in the seaOutroYou belong with meNot swallowed in the seaYeah you belong with meNot swallowed in the sea,2005,2000s
87,87,130,A Lack of Color,Death Cab for Cutie,216,Transatlanticism,Verse 1And when I see you I really see you upside downBut my brain knows better it picks you up and turns you aroundTurns you around turns you aroundIf you feel discouraged that theres a lack of color herePlease dont worry lover its really bursting at the seamsFrom absorbing everything the spectrums A to ZVerse 2This is fact not fiction for the first time in yearsAll the girls in every girly magazine cant make me feel any less aloneIm reaching for the phone to call at 703And on your machine I slur a plea for you to come homeBut I know its too late I should have given you a reason to stayGiven you a reason to stayGiven you a reason to stayGiven you a reason to stayOutroThis is fact not fiction for the first time in years,2003,2000s
88,88,132,Your Heart Is an Empty Room,Death Cab for Cutie,219,Plans,Burn it down til the embers smoke on the groundAnd start new when your heart is an empty roomWith walls of the deepest blueHomes faceHow it ages when youre awayAnd spring blooms and you find a love thats trueBut you dont know what now to doCause the chase is all you know and she stopped running months agoAnd all you see is where else you could be when youre at homeAnd out on the street are so many possibilities to not be aloneThe flames and smoke climbed out of every windowAnd disappeared with everything that you held dearBut you shed not a single tearFor the things that you didnt needCause you knew you were finally freeCause all you see is where else you could be when youre at homeAnd out on the street are so many possibilities to not be aloneAnd all you see is where else you could be when youre at homeAnd there on the street are so many possibilities to not be alone,2005,2000s
89,89,137,9 Crimes,Damien Rice,219,9,Verse Lisa HanniganLeave me out with the wasteThis is not what I doIts the wrong kind of placeTo be thinking of youPreChorus 1 Lisa HanniganIts the wrong timeFor somebody newIts a small crimeAnd I got no excuseRefrain Lisa HanniganAnd is that all right yeahGive my gun away when its loadedThat all right yeahIf you dont shoot it how am I supposed to hold itThat all right yeahGive my gun away when its loadedThat all right yeah with youVerse Damien RiceLeave me out with the wasteThis is not what I doIts the wrong kind of placeTo be cheating on youPreChorus 2 Damien RiceIts the wrong timeShes pulling me throughIts a small crimeAnd I got no excuseRefrain Damien Rice  Lisa HanniganAnd is that all right yeahTo give my gun away when its loadedIs that all right with youIs that all right yeahIf you dont shoot it how am I supposed to hold itIs that all right with youIs that all right yeahIf I give my gun away when its loadedIs that all right with youIs that all rightThat all right with youRefrain Damien Rice  Lisa HanniganThat all right yeahIf I give my gun away when its loadedIs that all right with youIs that all right yeahYou dont shoot it how am I supposed to hold itIs that all right with youIs that all right yeahIf I give my gun away when its loadedIs that all right with youIs that all rightIs that all right with youRefrain Damien Rice  Lisa HanniganAnd is that all right yeahTo give my gun away when its loadedIs that all right yeahYou dont shoot it how am I supposed to hold itIs that all right yeahTo give my gun away when its loadedIs that all right Is that all rightIs that all right with you No,2006,2000s
90,90,139,Wish You Were Here,Incubus,247,Monuments And Melodies,Verse 1I dig my toes into the sandThe ocean looks like a thousand diamonds strewn across a blue blanketI lean against the wind pretend that I am weightlessAnd in this moment I am happy–happyChorusI wish you were hereI wish you were hereI wish you were hereI wish you were hereVerse 2I lay my head onto the sandThe sky resembles a backlit canopy with holes punched in itIm counting UFOs I signal them with my lighterAnd in this moment I am happy–happyChorusI wish you were hereI wish you were hereI wish you were hereI wish you were hereVerse 3The worlds a roller coasterAnd I am not strapped inMaybe I should hold with careBut my hands are busy in the air sayingBridgeI wish you were hereI wish you wereChorusI wish you were hereI wish you were hereI wish you wereHere wish you were here,2001,2000s
91,91,140,Blood Bank,Bon Iver,284,Blood Bank,Verse 1Well I met you at the blood bankWe were looking at the bagsWondering if any of the colorsMatched any of the names we knew on the tagsYou said See look thats yoursStacked on top with your brothersSee how they resemble one anothersEven in their plastic little coversChorusAnd I said I know it wellThat secret that you knowBut dont know how to tellIt fucks with your honorAnd it teases your headBut you know that its good girlBecause its running you with redVerse 2Then the snow started fallingWe were stuck out in your carYou were rubbing both of my handsChewing on a candy barYou said Aint this just like the presentTo be showing up like thisAs a moon waned to crescentWe started to kissChorusAnd I said I know it wellThat secret that we knowThat we dont know how to tellIm in love with your honorIm in love with your cheeksWhats that noise up the stairs babeIs that Christmas morning creaksOutroAnd I know it wellI know it wellAnd I know it wellI know it wellAnd I know it wellI know it wellAnd I know it wellI know it well,2009,2000s
92,92,141,The Blower's Daughter,Damien Rice,284,O,Verse 1 Damien RiceAnd so it isJust like you said it would beLife goes easy on meMost of the timeVerse 2 Damien RiceAnd so it isThe shorter storyNo love no gloryNo hero in her skiesChorus Damien RiceI cant take my eyes off of youI cant take my eyes off of youI cant take my eyes off of youI cant take my eyes off of youI cant take my eyes off of youI cant take my eyesVerse 3 Damien RiceAnd so it isJust like you said it should beWell both forget the breezeMost of the timeVerse 4 Damien RiceAnd so it isThe colder waterThe blowers daughterThe pupil in denialChorus Damien RiceI cant take my eyes off of youI cant take my eyes off of youI cant take my eyes off of youI cant take my eyes off of youI cant take my eyes off of youI cant take my eyes off of youBridge Lisa HanniganOh did I sayThat I loathe youDid I say that I want toLeave it all behindChorus  Outro Damien RiceI cant take my mind off of youI cant take my mind off of youI cant take my mind off of youI cant take my mind off of youI cant take my mind off of youI cant take my mind off of youMy mindMy mindTill I find somebody new,2002,2000s
93,93,142,No One's Gonna Love You,Band of Horses,235,Acoustic At The Ryman,Verse 1Its looking like a limb torn offOr all together just taken apartWere reeling through an endless fallWe are the everliving ghost of what once wasChorusBut no one is ever gonna love you more than I doNo ones gonna love you more than I doVerse 2And anything to make you smileIt is a better side of you to admireBut they should never take so longJust to be over then back to another oneChorusAnd no one is ever gonna love you more than I doNo ones gonna love you more than I doBridgeBut someone they could have warned youWhen things start splitting at the seams and nowThe whole things tumbling downThings start splitting at the seams and nowIf things start splitting at the seams and nowIts tumbling down hardVerse 3Anything to make you smileYou are the everliving ghost of what once wasI never want to hear you sayThat youd be better off or you liked it that wayChorusAnd no one is ever gonna love you more than I doNo ones gonna love you more than I doBridgeBut someone they should have warned youWhen things start splitting at the seams and nowThe whole things tumbling downThings start splitting at the seams and nowIf things start splitting at the seams and nowIts tumbling down hard,2007,2000s
94,94,143,Ocean Avenue,Yellowcard,0,Ocean Avenue,IntroTheres a place off Ocean AvenueWhere I used to sit and talk with youWe were both sixteen and it felt so rightSleepin all day stayin up all night stayin up all nightVerse 1Theres a place on the corner of Cherry StreetWe would walk on the beach in our bare feetWe were both eighteen and it felt so rightSleepin all day stayin up all night stayin up all nightChorusIf I could find you now things would get betterWe could leave this town and run foreverLet your waves crash down on meAnd take me awayVerse 2Theres a piece of you thats here with meIts everywhere I go its everything I seeWhen I sleep I dream and it gets me byI can makebelieve that youre here tonight that youre here tonightChorusIf I could find you now things would get betterWe could leave this town and run foreverI know somewhere somehow well be togetherLet your waves crash down on me and take me awayBridgeI remember the look in your eyesWhen I told you that this was goodbyeYou were beggin me not tonightNot here not nowWere looking up at the same night sky OohAnd keep pretendin the sun will not rise OohWell be together for one more night OohSomewhere somehowChorusIf I could find you now things would get betterWe could leave this town and run foreverI know somewhere somehow well be togetherLet your waves crash down on meAnd take me away,2004,2000s
95,95,144,Always,blink-182,251,blink-182,Instrumental IntroVerse 1 Tom DeLongeIve been here before a few timesAnd Im quite aware were dyingAnd your hands they shake with goodbyesAnd Ill take you back if youd have mePreChorus Tom DeLongeSo here I am Im tryingSo here I am are you readyChorus Tom DeLongeCome on let me hold you touch you feel you alwaysKiss you taste you all night alwaysVerse 2 Tom DeLongeAnd Ill miss your laugh your smileIll admit Im wrong if you tell meIm so sick of fights I hate themLets start this again for realPreChorus Tom DeLongeSo here I am Im tryingSo here I am are you readySo here I am Im tryingSo here I am are you readyChorus Tom DeLongeCome on let me hold you touch you feel you alwaysKiss you taste you all night alwaysCome on let me hold you touch you feel you alwaysKiss you taste you all night alwaysBridge Tom DeLongeIve been here before a few timesAnd Im quite aware were dyingChorus Tom DeLongeCome on let me hold you touch you feel you alwaysKiss you taste you all night alwaysCome on let me hold you touch you feel you alwaysKiss you taste you all night alwaysOutro Mark HoppusAlwaysAlways,2004,2000s
96,96,145,"Flightless Bird, American Mouth",Iron & Wine,243,Beyond Ocean Avenue: Live at the Electric Factory,Verse 1I was a quick wet boyDiving too deep for coinsAll of your street light eyesWide on my plastic toysThen when the cops closed the fairI cut my long baby hairStole me a dogeared mapAnd called for you everywhereChorusHave I found you Flightless birdJealous weepingOr lost you American mouthBig pill loomingVerse 2Now Im a fat house catNursing my sore blunt tongueWatching the warm poison ratsCurl through the wide fence cracksPissing on magazine photosThose fishing luresThrown in the cold and cleanBlood of Christ mountain streamChorusHave I found you Flightless birdGrounded bleedingOr lost you American mouthBig pill stuck going down,2007,2000s
97,97,148,Take a Bow,Rihanna,228,Take a Bow,IntroOh how about a round of applauseYeah a standing ovationOh wow yeah yeah yeah yeah yeahVerse 1You look so dumb right nowStanding outside my houseTrying to apologizeYoure so ugly when you cryPlease just cut it outPreChorusAnd dont tell me youre sorry cause youre notBaby when I know youre only sorry you got caughtChorusBut you put on quite a show UhohReally had me goingBut now its time to go UhohCurtains finally closingThat was quite a show UhohVery entertainingBut its over now But its over nowGo on and take a bowVerse 2Grab your clothes and get gone Get goneYou better hurry upBefore the sprinklers come on Come onTalking bout Girl I love you youre the oneThis just looks like the rerunPlease what else is on OhohPreChorusAnd dont tell me youre sorry cause youre notBaby when I know youre only sorry you got caughtChorusBut you put on quite a show UhohReally had me goingBut now its time to go UhohCurtains finally closingThat was quite a show UhohVery entertainingBut its over now But its over nowGo on and take a bowBridgeOh and the award for the best liar goes to you Goes to youFor making me believeThat you could be faithful to meLets hear your speech ohHow bout a round of applauseA standing ovationChorusBut you put on quite a show UhohReally had me goingNow its time to go UhohCurtains finally closingThat was quite a show UhohVery entertainingBut its over now But its over nowGo on and take a bowBut its over now,2008,2000s
98,98,149,You Belong with Me,Taylor Swift,231,Fearless,Verse 1Youre on the phone with your girlfriend shes upsetShes going off about something that you saidCause she doesnt get your humor like I doIm in the room its a typical Tuesday nightIm listening to the kind of music she doesnt likeAnd shell never know your story like I doPreChorusBut she wears short skirts I wear TshirtsShes Cheer Captain and Im on the bleachersDreaming about the day when you wake up and findThat what youre looking for has been here the whole timeChorusIf you could see that Im the one who understands youBeen here all along so why cant you seeYou belong with me you belong with meVerse 2Walking the streets with you and your wornout jeansI cant help thinking this is how it ought to beLaughing on a park bench thinking to myselfHey isnt this easyAnd youve got a smile that could light up this whole townI havent seen it in a while since she brought you downYou say youre fine I know you better than thatHey whatcha doing with a girl like thatPreChorusShe wears high heels I wear sneakersShes Cheer Captain and Im on the bleachersDreaming about the day when you wake up and findThat what youre looking for has been here the whole timeChorusIf you could see that Im the one who understands youBeen here all along so why cant you seeYou belong with meStanding by and waiting at your back doorAll this time how could you not know babyYou belong with me you belong with meBridgeOh I remember you driving to my houseIn the middle of the nightIm the one who makes you laughWhen you know youre bout to cryAnd I know your favorite songsAnd you tell me bout your dreamsThink I know where you belongThink I know its with meChorusCant you see that Im the one who understands youBeen here all along so why cant you seeYou belong with meStanding by and waiting at your back doorAll this time how could you not know babyYou belong with me you belong with meOutroYou belong with meHave you ever thought just maybeYou belong with meYou belong with me,2008,2000s
99,99,150,Need You Now,Lady Antebellum,235,Need You Now,Intro Hillary Scott  Charles KelleyHey sorry I missed your call just leave a message after the beepHey yeah its me just been thinking about everything that nightI dont know I just miss you so muchCan you call me backVerse 1 Hillary ScottPicture perfect memoriesScattered all around the floorReachin for the phone cause I cant fight it anymorePreChorus Hillary Scott  Charles KelleyAnd I wonder if I ever cross your mindFor me it happens all the timeChorus Lady AntebellumIts a quarter after one Im all alone and I need you nowSaid I wouldnt call but Ive lost all control and I need you nowAnd I dont know how I can do withoutI just need you nowVerse 2 Charles KelleyAnother shot of whiskeyCant stop lookin at the doorWishing youd come sweeping in the way you did beforePreChorus Lady Antebellum  Charles KelleyAnd I wonder if I ever cross your mindFor me it happens all the timeChorus Lady AntebellumIts a quarter after one Im a little drunk and I need you nowSaid I wouldnt call but Ive lost all control and I need you nowAnd I dont know how I can do withoutI just need you nowWhoa ohBridge Hillary Scott  Charles KelleyI guess Id rather hurt than feel nothin at allChorus Hillary Scott  Charles Kelley  Lady AntebellumIts a quarter after one Im all alone and I need you nowAnd I said I wouldnt call but Im a little drunk and I need you nowAnd I dont know how I can do withoutI just need you nowOutro Lady Antebellum  Hillary ScottI just need you nowOh baby I need you now,2009,2000s
100,100,153,Transatlanticism,Death Cab for Cutie,475,Transatlanticism,Verse 1The Atlantic was born today and Ill tell you howThe clouds above opened up and let it outI was standing on the surface of a perforated sphereWhen the water filled every holeAnd thousands upon thousands made an oceanMaking islands where no island should goOh noVerse 2Most people were overjoyed they took to their boatsI thought it less like a lake and more like a moatThe rhythm of my footsteps crossing flatlands to your doorHave been silenced forevermoreThe distance is quite simply much too far for me to rowIt seems farther than ever beforeOh noRefrainI need you so much closerI need you so much closerI need you so much closerI need you so much closerI need you so much closerI need you so much closerI need you so much closerI need you so much closerInstrumental InterludeRefrainI need you so much closerI need you so much closerI need you so much closerI need you so much closerOutroSo come on come onSo come on come onSo come on come onSo come on come on,2003,2000s
101,101,155,Endlessly,Muse,228,Absolution,Verse 1Theres a part of me youll never knowThe only thing Ill never showChorusHopelessly Ill love you endlesslyHopelessly Ill give you everythingBut I wont give you upI wont let you downAnd I wont leave you fallingIf the moment ever comesVerse 2Its plain to see its trying to speakCherished dreams forever asleepChorusHopelessly Ill love you endlesslyHopelessly Ill give you everythingBut I wont give you upI wont let you downAnd I wont leave you fallingIf the moment ever comesHopelessly Ill love you endlesslyHopelessly Ill give you everythingBut I wont give you upI wont let you downAnd I wont leave you fallingBut the moment never comes,2003,2000s
102,102,156,The Ghost of You,My Chemical Romance,0,Three Cheers for Sweet Revenge,Verse 1I never said Id lie and wait foreverIf I died wed be togetherI cant always just forget herBut she could tryChorusAt the end of the world or the last thing I seeYou are never coming home never coming homeCould I Should IAnd all the things that you never ever told meAnd all the smiles that are ever everVerse 2Ever get the feeling that youre neverAll alone And I rememberNow at the top of my lungs in my arms she diesShe diesChorusAt the end of the world or the last thing I seeYou are never coming home never coming homeCould I Should IAnd all the things that you never ever told meAnd all the smiles that are ever gonna haunt meNever coming home never coming homeCould I Should IAnd all the wounds that are ever gonna scar meFor all the ghosts that are never gonna catch meBridgeIf I fall if I fall downWoah woah woah woahWoah woah woah woahChorusAt the end of the world or the last thing I seeYou are never coming home never coming homeNever coming home never coming homeAnd all the things that you never ever told meAnd all the smiles that are ever going to haunt meNever coming home never coming homeCould I Should IAnd all the wounds that are ever gonna scar meFor all the ghosts that are never gonnaInstrumental Outro,2004,2000s
